symbol,price,volume,side,source,price_ma,volume_ma,log_returns,volatility,price_momentum,is_peak
BTC/USDT,117564.78,0.00014,,binance,,,-8.505948440974012e-08,,,0
BTC/USDT,117564.79,0.00071,,binance,,,8.50594845020962e-08,,,0
BTC/USDT,117564.78,0.09932,,binance,,,-8.505948440974012e-08,,,1
BTC/USDT,117564.78,5e-05,,binance,,,0.0,,,0
BTC/USDT,117564.78,0.08618,,binance,,,0.0,,,0
BTC/USDT,117564.78,0.0001,,binance,,,0.0,,,0
BTC/USDT,117564.77,0.1,,binance,,,-8.50594916261904e-08,,,0
BTC/USDT,117564.77,8e-05,,binance,,,0.0,,,0
BTC/USDT,117564.77,0.00307,,binance,,,0.0,,,0
BTC/USDT,117564.76,0.0005,,binance,,,-8.505949895366299e-08,,-0.029999999998835847,0
BTC/USDT,117564.75,0.0001,,binance,,,-8.505950605909095e-08,,-0.029999999998835847,0
BTC/USDT,117564.48,5e-05,,binance,,,-2.2966094007463935e-06,,-0.3099999999976717,0
BTC/USDT,117564.45,0.0002,,binance,,,-2.5517914784091807e-07,,-0.33000000000174623,0
BTC/USDT,117564.0,0.0005,,binance,,,-3.827695032185443e-06,,-0.7799999999988358,0
BTC/USDT,117563.99,0.0001,,binance,,,-8.506005595260182e-08,,-0.7899999999935972,0
BTC/USDT,117563.19,5e-05,,binance,,,-6.804827923343912e-06,,-1.5899999999965075,0
BTC/USDT,117563.0,0.0005,,binance,,,-1.6161534366542668e-06,,-1.7700000000040745,0
BTC/USDT,117562.84,5e-05,,binance,,,-1.3609733408894238e-06,,-1.930000000007567,0
BTC/USDT,117562.0,0.0005,,binance,117564.2625,0.014622500000000002,-7.145140428418086e-06,,-2.7700000000040745,0
BTC/USDT,117561.7,5e-05,,binance,117564.10800000001,0.014612500000000004,-2.5518482399509216e-06,2.22230985766708e-06,-3.0599999999976717,0
BTC/USDT,117561.66,5e-05,,binance,117563.952,0.014608000000000001,-3.402469238991705e-07,2.2156038756261926e-06,-3.0899999999965075,0
BTC/USDT,117561.61,5e-05,,binance,117563.79300000002,0.014575000000000001,-4.253088177913666e-07,2.2013784779029904e-06,-2.8699999999953434,0
BTC/USDT,117561.6,5e-05,,binance,117563.63399999999,0.0096115,-8.506178523613207e-08,2.2013784081841062e-06,-2.849999999991269,0
BTC/USDT,117561.59,0.0003,,binance,117563.47450000001,0.009624,-8.506179256360466e-08,2.1987084571017654e-06,-2.4100000000034925,0
BTC/USDT,117561.0,0.0005,,binance,117563.2855,0.00534,-5.018658564468021e-06,2.3188228025329303e-06,-2.9900000000052387,0
BTC/USDT,117560.96,5e-05,,binance,117563.0945,0.0053375,-3.4024894994585754e-07,2.3076283441291908e-06,-2.2299999999959255,0
BTC/USDT,117560.0,0.00055,,binance,117562.856,0.000365,-8.16600952978879e-06,2.698260422983813e-06,-3.0,0
BTC/USDT,117559.63,0.00017,,binance,117562.599,0.0003695,-3.147333976251141e-06,2.6652929721990778e-06,-3.209999999991851,0
BTC/USDT,117559.04,5e-05,,binance,117562.3125,0.0002185,-5.018742237845404e-06,2.684826945065684e-06,-2.960000000006403,0
BTC/USDT,117559.03,5e-05,,binance,117562.026,0.000196,-8.506364474883419e-08,2.6848267539191193e-06,-2.6699999999982538,0
BTC/USDT,117559.02,5e-05,,binance,117561.7395,0.00019350000000000001,-8.506365207630677e-08,2.684826562762287e-06,-2.639999999999418,0
BTC/USDT,117559.01,5e-05,,binance,117561.46600000001,0.00019350000000000001,-8.506365940377936e-08,2.735968908686427e-06,-2.6000000000058208,0
BTC/USDT,117559.0,0.0005,,binance,117561.19350000001,0.0002085,-8.506366650920732e-08,2.7430024838540587e-06,-2.6000000000058208,0
BTC/USDT,117558.76,5e-05,,binance,117560.93149999999,0.00018600000000000002,-2.041530167728382e-06,2.7202426522357385e-06,-2.8300000000017462,0
BTC/USDT,117558.59,0.0033,,binance,117560.6615,0.00034600000000000006,-1.4460863904962815e-06,2.6805298313831993e-06,-2.4100000000034925,0
BTC/USDT,117558.0,0.0006,,binance,117560.402,0.0003735,-5.0187866368861866e-06,2.5489576081250115e-06,-2.960000000006403,0
BTC/USDT,117557.48,5e-05,,binance,117560.126,0.000351,-4.423358257870434e-06,2.5916215914539846e-06,-2.5200000000040745,0
BTC/USDT,117557.44,5e-05,,binance,117559.856,0.000351,-3.402591379109095e-07,2.6219489521644548e-06,-2.1900000000023283,0
BTC/USDT,117557.0,0.0002,,binance,117559.606,0.00033600000000000004,-3.742858158827334e-06,2.39102390343905e-06,-2.039999999993597,0
BTC/USDT,117557.0,0.0004,,binance,117559.371,0.00035350000000000003,0.0,2.434822133421005e-06,-2.029999999998836,0
BTC/USDT,117556.01,0.41975,,binance,117559.0885,0.021338500000000003,-8.421482077971066e-06,2.7897412690476395e-06,-3.0100000000093132,0
BTC/USDT,117556.0,0.00011,,binance,117558.80799999999,0.021341500000000003,-8.506583732847204e-08,2.8034403126494517e-06,-3.0099999999947613,0
BTC/USDT,117556.0,0.00733,,binance,117558.528,0.021705500000000003,0.0,2.8071768782573504e-06,-3.0,0
BTC/USDT,117556.0,0.00053,,binance,117558.24849999999,0.021717,0.0,2.8109017032276515e-06,-2.7599999999947613,0
BTC/USDT,117556.01,0.00112,,binance,117557.999,0.021748,8.506583719770272e-08,2.7901014449594697e-06,-2.5800000000017462,0
BTC/USDT,117556.0,0.0019,,binance,117557.751,0.021840500000000002,-8.506583732847204e-08,2.7992484029197108e-06,-2.0,0
BTC/USDT,117556.01,0.0001,,binance,117557.55149999999,0.021818,8.506583719770272e-08,2.4453209679405497e-06,-1.4700000000011642,0
BTC/USDT,117556.01,5e-05,,binance,117557.3705,0.021812,0.0,2.4483460644858227e-06,-1.430000000007567,0
BTC/USDT,117556.0,0.00285,,binance,117557.2185,0.021952000000000003,-8.506583732847204e-08,2.3247911190350166e-06,-1.0,0
BTC/USDT,117556.01,0.00085,,binance,117557.0675,0.021992000000000005,8.506583719770272e-08,2.3297495210383476e-06,-0.9900000000052387,0
BTC/USDT,117556.0,0.01283,,binance,117556.9165,0.022631000000000002,-8.506583732847204e-08,2.3297494618266585e-06,-0.00999999999476131,0
BTC/USDT,117556.0,0.00039,,binance,117556.76599999999,0.022648,0.0,2.3321307816580987e-06,0.0,0
BTC/USDT,117556.0,0.00412,,binance,117556.616,0.022829000000000002,0.0,2.334501516004652e-06,0.0,0
BTC/USDT,117556.0,0.00336,,binance,117556.478,0.022994500000000005,0.0,2.3438798186290786e-06,0.0,0
BTC/USDT,117556.0,0.00019,,binance,117556.3485,0.022839,0.0,2.3573073622072936e-06,-0.00999999999476131,0
BTC/USDT,117556.01,1.25,,binance,117556.249,0.085309,8.506583719770272e-08,2.1805639569548196e-06,0.00999999999476131,0
BTC/USDT,117556.0,0.00762,,binance,117556.175,0.0856875,-8.506583732847204e-08,2.0155483272410085e-06,-0.00999999999476131,0
BTC/USDT,117556.01,0.01661,,binance,117556.1035,0.0865155,8.506583719770272e-08,2.0209970296438504e-06,0.0,0
BTC/USDT,117556.02,0.0003,,binance,117556.0545,0.0865205,8.506583009227596e-08,1.885207886879351e-06,0.020000000004074536,0
BTC/USDT,117556.59,0.0017,,binance,117556.03399999999,0.08658550000000001,4.8487403546600965e-06,2.2231207015743993e-06,0.5800000000017462,0
BTC/USDT,117556.6,0.0001,,binance,117556.0635,0.065603,8.506541042800836e-08,1.0842815644468154e-06,0.6000000000058208,1
BTC/USDT,117556.94,5e-05,,binance,117556.1105,0.0656,2.892219648403561e-06,1.2302735940565899e-06,0.9400000000023283,1
BTC/USDT,117557.48,5e-05,,binance,117556.1845,0.06523599999999999,4.593508131031648e-06,1.5411914231711372e-06,1.4799999999959255,1
BTC/USDT,117557.77,0.0034,,binance,117556.273,0.06537950000000001,2.4668752877588453e-06,1.586217540935666e-06,1.7700000000040745,1
BTC/USDT,117557.78,0.0001,,binance,117556.3615,0.0653285,8.506455644453047e-08,1.586217569312939e-06,1.7799999999988358,1
BTC/USDT,117558.12,5e-05,,binance,117556.46749999998,0.06523599999999999,2.892190617487698e-06,1.642162359441672e-06,2.110000000000582,1
BTC/USDT,117560.0,5e-05,,binance,117556.66699999999,0.0652335,1.5991961827942202e-05,3.7390909096238655e-06,4.0,1
BTC/USDT,117561.6,0.00314,,binance,117556.94649999999,0.06538799999999999,1.3609978836769764e-05,4.561924536130372e-06,5.5900000000110595,1
BTC/USDT,117561.61,0.00014,,binance,117557.227,0.0652525,8.506178532809672e-08,4.557247194715257e-06,5.5899999999965075,1
BTC/USDT,117561.61,6e-05,,binance,117557.50700000001,0.065213,0.0,4.559546842897649e-06,5.0200000000040745,1
BTC/USDT,117561.89,0.00087,,binance,117557.80150000002,0.064615,2.381727049888655e-06,4.522518316083946e-06,5.289999999993597,1
BTC/USDT,117561.89,0.00207,,binance,117558.09599999999,0.064699,0.0,4.522518316083946e-06,4.94999999999709,1
BTC/USDT,117561.88,0.00094,,binance,117558.38999999998,0.06454,-8.506158262041285e-08,4.5250374826864475e-06,4.400000000008731,1
BTC/USDT,117561.89,0.0001,,binance,117558.6845,0.06437699999999999,8.506158260138966e-08,4.5226025193509326e-06,4.119999999995343,1
BTC/USDT,117561.89,1.0,,binance,117558.979,0.1143675,0.0,4.5226025193509326e-06,4.110000000000582,1
BTC/USDT,117561.89,8e-05,,binance,117559.273,0.0518715,0.0,4.52503760223525e-06,3.7700000000040745,1
BTC/USDT,117561.89,0.00045,,binance,117559.56749999998,0.051512999999999996,0.0,4.522518307656959e-06,1.889999999999418,1
BTC/USDT,117561.88,8e-05,,binance,117559.861,0.0506865,-8.506158262041285e-08,4.527467041708621e-06,0.27999999999883585,1
BTC/USDT,117561.89,0.00012,,binance,117560.15449999999,0.0506775,8.506158260138966e-08,4.52746716078371e-06,0.27999999999883585,1
BTC/USDT,117561.88,0.05345,,binance,117560.41900000002,0.05326499999999999,-8.506158262041285e-08,4.5269759006542544e-06,0.27000000000407454,1
BTC/USDT,117561.89,0.00073,,binance,117560.6835,0.053296500000000004,8.506158260138966e-08,4.526975996997548e-06,0.0,1
BTC/USDT,117561.89,0.00011,,binance,117560.93100000001,0.0532995,0.0,4.551507099230674e-06,0.0,1
BTC/USDT,117561.88,0.00185,,binance,117561.151,0.0533895,-8.506158262041285e-08,4.537100547928774e-06,0.0,1
BTC/USDT,117561.88,0.00019,,binance,117561.3565,0.05322899999999999,0.0,4.553561763685632e-06,-0.00999999999476131,1
BTC/USDT,117561.88,0.023,,binance,117561.5615,0.054374,0.0,4.555236233646304e-06,-0.00999999999476131,1
BTC/USDT,117561.88,0.00133,,binance,117561.7495,0.05443800000000001,0.0,4.56276188248545e-06,-0.00999999999476131,0
BTC/USDT,117561.88,0.02298,,binance,117561.8435,0.0555845,0.0,3.0622944469133356e-06,-0.00999999999476131,0
BTC/USDT,117561.89,0.00467,,binance,117561.85800000001,0.055661,8.506158260138966e-08,5.347646148356476e-07,0.00999999999476131,0
BTC/USDT,117561.88,0.00015,,binance,117561.87149999998,0.055661499999999996,-8.506158262041285e-08,5.367548387882704e-07,-0.00999999999476131,0
BTC/USDT,117561.89,0.00088,,binance,117561.8855,0.0557025,8.506158260138966e-08,5.361336872532825e-07,0.00999999999476131,0
BTC/USDT,117561.88,0.00036,,binance,117561.88500000001,0.055677,-8.506158262041285e-08,6.457489635992054e-08,-0.00999999999476131,0
BTC/USDT,117561.88,0.22329,,binance,117561.8845,0.06673799999999999,0.0,6.457489635992054e-08,-0.00999999999476131,0
BTC/USDT,117561.88,0.00208,,binance,117561.88450000001,0.06679500000000001,0.0,6.171015798102115e-08,0.0,0
BTC/USDT,117561.88,0.04184,,binance,117561.884,0.068882,0.0,5.8380549160619434e-08,0.0,0
BTC/USDT,117561.88,0.00425,,binance,117561.8835,0.0190945,0.0,5.8380549160619434e-08,0.0,0
BTC/USDT,117561.88,0.0165,,binance,117561.88299999999,0.019915499999999996,0.0,5.8380549160619434e-08,0.0,0
BTC/USDT,117561.89,0.00021,,binance,117561.883,0.0199035,8.506158260138966e-08,6.171015798102115e-08,0.00999999999476131,0
BTC/USDT,117561.89,0.00019,,binance,117561.8835,0.019909,0.0,5.8380549159816976e-08,0.0,0
BTC/USDT,117561.88,0.00308,,binance,117561.883,0.020057,-8.506158262041285e-08,5.838054916061943e-08,0.0,0
BTC/USDT,117561.89,0.00016,,binance,117561.8835,0.017392499999999998,8.506158260138966e-08,5.8380549159816976e-08,0.0,0
BTC/USDT,117561.89,0.24924,,binance,117561.88350000003,0.029818,0.0,5.519524325913506e-08,0.00999999999476131,0
BTC/USDT,117561.9,0.0003,,binance,117561.884,0.0298275,8.506157549596291e-08,5.838054864217982e-08,0.01999999998952262,0
BTC/USDT,117561.97,0.00035,,binance,117561.8885,0.029752499999999998,5.954308254566635e-07,1.4200037144129204e-07,0.08999999999650754,1
BTC/USDT,117561.98,0.00045,,binance,117561.89349999998,0.0297655,8.506151754232595e-08,1.4206739961211592e-07,0.09999999999126885,1
BTC/USDT,117562.83,5e-05,,binance,117561.94099999999,0.028617999999999998,7.230202546452037e-06,1.6129493247176817e-06,0.9499999999970896,1
BTC/USDT,117563.19,5e-05,,binance,117562.00649999999,0.028554000000000003,3.062187672734714e-06,1.7147065192017907e-06,1.3099999999976717,1
BTC/USDT,117563.65,0.00255,,binance,117562.09500000002,0.027532499999999998,3.9127817137914965e-06,1.8644669520971164e-06,1.7599999999947613,1
